dam_name,water_system,river,lat,lon,manager,address,reason,source_checked,note,inclusion,inclusion_reason
黒部ダム,黒部川,黒部川,36.5663889,137.6622222,関西電力,富山県中新川郡立山町芦峅寺,現在、ダム旅が利用している公開情報源では取得できません,国土交通省 川の防災情報（観測所の登録なし）／関西電力サイト／黒部ダムオフィシャルサイト,堤高186mは日本一。観光放流は例年6〜10月,exception,公的な管理ダム一覧（川の防災情報 obsDam 等）には現在値の公開が無く収録されないが、著名な観光地・ダムであり、当初からダム旅の収録対象として選定した。水位・貯水量の公開情報源は確認できていない（no_source）。
有峰ダム,常願寺川,和田川,36.4894444,137.4486111,北陸電力,富山県富山市有峰,現在、ダム旅が利用している公開情報源では取得できません,国土交通省 川の防災情報（観測所の登録なし）／北陸電力サイト,有峰湖。ダム湖百選,exception,公的な管理ダム一覧（川の防災情報 obsDam 等）には現在値の公開が無く収録されないが、著名な観光地・ダムであり、当初からダム旅の収録対象として選定した。水位・貯水量の公開情報源は確認できていない（no_source）。
出し平ダム,黒部川,黒部川,36.7699444,137.6311944,関西電力,富山県黒部市黒部奥山国有林,現在、ダム旅が利用している公開情報源では取得できません,国土交通省 川の防災情報（観測所の登録なし）／関西電力サイト／国土交通省 黒部河川事務所,宇奈月ダムとの連携排砂で知られる,exception,公的な管理ダム一覧（川の防災情報 obsDam 等）には現在値の公開が無く収録されないが、著名な観光地・ダムであり、当初からダム旅の収録対象として選定した。水位・貯水量の公開情報源は確認できていない（no_source）。
